,Timestamp,Heart rate
0,2021-02-17 00:04:00,56.0
1,2021-02-17 00:05:00,57.0
2,2021-02-17 00:14:00,58.0
3,2021-02-17 00:15:00,56.0
4,2021-02-17 00:18:00,57.0
5,2021-02-17 00:20:00,56.0
6,2021-02-17 00:22:00,57.0
7,2021-02-17 00:28:00,56.0
8,2021-02-17 00:29:00,55.0
9,2021-02-17 00:30:00,54.0
10,2021-02-17 00:46:00,71.0
11,2021-02-17 00:47:00,63.0
12,2021-02-17 00:48:00,57.0
13,2021-02-17 00:49:00,55.0
14,2021-02-17 00:50:00,54.0
15,2021-02-17 01:01:00,64.0
16,2021-02-17 01:02:00,61.0
17,2021-02-17 01:03:00,56.0
18,2021-02-17 01:04:00,55.0
19,2021-02-17 01:05:00,54.0
20,2021-02-17 01:21:00,54.0
21,2021-02-17 01:37:00,54.0
22,2021-02-17 01:52:00,56.0
23,2021-02-17 01:53:00,69.0
24,2021-02-17 01:54:00,60.0
25,2021-02-17 01:55:00,56.0
26,2021-02-17 01:56:00,55.0
27,2021-02-17 01:57:00,54.0
28,2021-02-17 02:13:00,54.0
29,2021-02-17 02:29:00,54.0
30,2021-02-17 02:34:00,53.0
31,2021-02-17 02:36:00,54.0
32,2021-02-17 02:52:00,54.0
33,2021-02-17 03:08:00,54.0
34,2021-02-17 03:24:00,54.0
35,2021-02-17 03:40:00,54.0
36,2021-02-17 03:47:00,53.0
37,2021-02-17 03:49:00,54.0
38,2021-02-17 04:05:00,54.0
39,2021-02-17 04:21:00,54.0
40,2021-02-17 04:37:00,54.0
41,2021-02-17 04:53:00,54.0
42,2021-02-17 04:57:00,53.0
43,2021-02-17 04:58:00,54.0
44,2021-02-17 05:14:00,54.0
45,2021-02-17 05:17:00,66.0
46,2021-02-17 05:18:00,61.0
47,2021-02-17 05:19:00,56.0
48,2021-02-17 05:20:00,54.0
49,2021-02-17 05:25:00,53.0
50,2021-02-17 05:26:00,54.0
51,2021-02-17 05:42:00,54.0
52,2021-02-17 05:52:00,64.0
53,2021-02-17 05:53:00,63.0
54,2021-02-17 05:54:00,57.0
55,2021-02-17 05:55:00,55.0
56,2021-02-17 05:56:00,54.0
57,2021-02-17 06:02:00,65.0
58,2021-02-17 06:04:00,57.0
59,2021-02-17 06:05:00,54.0
60,2021-02-17 06:21:00,54.0
61,2021-02-17 06:30:00,53.0
62,2021-02-17 06:31:00,62.0
63,2021-02-17 06:32:00,67.0
64,2021-02-17 06:33:00,58.0
65,2021-02-17 06:34:00,55.0
66,2021-02-17 06:35:00,54.0
67,2021-02-17 06:51:00,54.0
68,2021-02-17 06:52:00,56.0
69,2021-02-17 07:08:00,56.0
70,2021-02-17 07:10:00,57.0
71,2021-02-17 07:11:00,56.0
72,2021-02-17 07:27:00,56.0
73,2021-02-17 07:43:00,56.0
74,2021-02-17 07:58:00,57.0
75,2021-02-17 07:59:00,78.0
76,2021-02-17 08:00:00,71.0
77,2021-02-17 08:01:00,74.0
78,2021-02-17 08:02:00,72.0
79,2021-02-17 08:03:00,59.0
80,2021-02-17 08:04:00,60.0
81,2021-02-17 08:05:00,70.0
82,2021-02-17 08:06:00,66.0
83,2021-02-17 08:07:00,63.0
84,2021-02-17 08:09:00,60.0
85,2021-02-17 08:12:00,59.0
86,2021-02-17 08:13:00,60.0
87,2021-02-17 08:16:00,59.0
88,2021-02-17 08:17:00,75.0
89,2021-02-17 08:18:00,78.0
90,2021-02-17 08:20:00,77.0
91,2021-02-17 08:21:00,74.0
92,2021-02-17 08:22:00,63.0
93,2021-02-17 08:23:00,61.0
94,2021-02-17 08:24:00,59.0
95,2021-02-17 08:26:00,60.0
96,2021-02-17 08:27:00,58.0
97,2021-02-17 08:28:00,59.0
98,2021-02-17 08:29:00,60.0
99,2021-02-17 08:30:00,76.0
100,2021-02-17 08:31:00,71.0
101,2021-02-17 08:32:00,62.0
102,2021-02-17 08:33:00,58.0
103,2021-02-17 08:35:00,59.0
104,2021-02-17 08:36:00,71.0
105,2021-02-17 08:37:00,64.0
106,2021-02-17 08:38:00,60.0
107,2021-02-17 08:42:00,78.0
108,2021-02-17 08:43:00,70.0
109,2021-02-17 08:44:00,62.0
110,2021-02-17 08:46:00,79.0
111,2021-02-17 08:47:00,72.0
112,2021-02-17 08:48:00,62.0
113,2021-02-17 08:49:00,59.0
114,2021-02-17 08:51:00,67.0
115,2021-02-17 08:52:00,80.0
116,2021-02-17 08:53:00,81.0
117,2021-02-17 08:55:00,80.0
118,2021-02-17 08:58:00,79.0
119,2021-02-17 08:59:00,77.0
120,2021-02-17 09:00:00,87.0
121,2021-02-17 09:01:00,82.0
122,2021-02-17 09:02:00,90.0
123,2021-02-17 09:03:00,82.0
124,2021-02-17 09:04:00,76.0
125,2021-02-17 09:06:00,72.0
126,2021-02-17 09:07:00,82.0
127,2021-02-17 09:08:00,91.0
128,2021-02-17 09:09:00,96.0
129,2021-02-17 09:10:00,93.0
130,2021-02-17 09:11:00,97.0
131,2021-02-17 09:12:00,122.0
132,2021-02-17 09:13:00,124.0
133,2021-02-17 09:14:00,118.0
134,2021-02-17 09:15:00,75.0
135,2021-02-17 09:16:00,71.0
136,2021-02-17 09:17:00,82.0
137,2021-02-17 09:18:00,83.0
138,2021-02-17 09:19:00,82.0
139,2021-02-17 09:20:00,88.0
140,2021-02-17 09:21:00,87.0
141,2021-02-17 09:22:00,81.0
142,2021-02-17 09:23:00,82.0
143,2021-02-17 09:24:00,85.0
144,2021-02-17 09:25:00,82.0
145,2021-02-17 09:26:00,80.0
146,2021-02-17 09:27:00,87.0
147,2021-02-17 09:28:00,84.0
148,2021-02-17 09:29:00,78.0
149,2021-02-17 09:30:00,63.0
150,2021-02-17 09:31:00,58.0
151,2021-02-17 09:32:00,57.0
152,2021-02-17 09:33:00,55.0
153,2021-02-17 09:34:00,57.0
154,2021-02-17 09:35:00,54.0
155,2021-02-17 09:36:00,49.0
156,2021-02-17 09:37:00,46.0
157,2021-02-17 09:41:00,45.0
158,2021-02-17 09:51:00,46.0
159,2021-02-17 09:52:00,52.0
160,2021-02-17 09:53:00,47.0
161,2021-02-17 09:54:00,45.0
162,2021-02-17 09:56:00,48.0
163,2021-02-17 09:57:00,60.0
164,2021-02-17 09:58:00,65.0
165,2021-02-17 09:59:00,73.0
166,2021-02-17 10:00:00,69.0
167,2021-02-17 10:01:00,66.0
168,2021-02-17 10:13:00,64.0
169,2021-02-17 10:16:00,66.0
170,2021-02-17 10:17:00,78.0
171,2021-02-17 10:18:00,70.0
172,2021-02-17 10:19:00,62.0
173,2021-02-17 10:20:00,63.0
174,2021-02-17 10:21:00,60.0
175,2021-02-17 10:22:00,65.0
176,2021-02-17 10:23:00,74.0
177,2021-02-17 10:24:00,72.0
178,2021-02-17 10:25:00,69.0
179,2021-02-17 10:26:00,68.0
180,2021-02-17 10:27:00,73.0
181,2021-02-17 10:28:00,68.0
182,2021-02-17 10:29:00,66.0
183,2021-02-17 10:30:00,67.0
184,2021-02-17 10:32:00,85.0
185,2021-02-17 10:33:00,77.0
186,2021-02-17 10:34:00,66.0
187,2021-02-17 10:35:00,62.0
188,2021-02-17 10:39:00,57.0
189,2021-02-17 10:41:00,60.0
190,2021-02-17 10:42:00,59.0
191,2021-02-17 10:43:00,60.0
192,2021-02-17 10:44:00,58.0
193,2021-02-17 10:45:00,60.0
194,2021-02-17 10:46:00,63.0
195,2021-02-17 10:48:00,62.0
196,2021-02-17 10:50:00,73.0
197,2021-02-17 10:51:00,70.0
198,2021-02-17 10:52:00,102.0
199,2021-02-17 10:53:00,74.0
200,2021-02-17 10:54:00,66.0
201,2021-02-17 10:55:00,62.0
202,2021-02-17 10:56:00,61.0
203,2021-02-17 10:57:00,60.0
204,2021-02-17 10:58:00,55.0
205,2021-02-17 11:02:00,52.0
206,2021-02-17 11:09:00,48.0
207,2021-02-17 11:10:00,58.0
208,2021-02-17 11:12:00,57.0
209,2021-02-17 11:13:00,58.0
210,2021-02-17 11:15:00,54.0
211,2021-02-17 11:17:00,74.0
212,2021-02-17 11:18:00,76.0
213,2021-02-17 11:19:00,75.0
214,2021-02-17 11:20:00,73.0
215,2021-02-17 11:21:00,72.0
216,2021-02-17 11:22:00,73.0
217,2021-02-17 11:23:00,62.0
218,2021-02-17 11:24:00,71.0
219,2021-02-17 11:25:00,73.0
220,2021-02-17 11:27:00,72.0
221,2021-02-17 11:28:00,73.0
222,2021-02-17 11:29:00,70.0
223,2021-02-17 11:30:00,71.0
224,2021-02-17 11:31:00,70.0
225,2021-02-17 11:32:00,74.0
226,2021-02-17 11:33:00,76.0
227,2021-02-17 11:35:00,67.0
228,2021-02-17 11:37:00,70.0
229,2021-02-17 11:38:00,63.0
230,2021-02-17 11:39:00,69.0
231,2021-02-17 11:40:00,68.0
232,2021-02-17 11:41:00,63.0
233,2021-02-17 11:42:00,77.0
234,2021-02-17 11:43:00,74.0
235,2021-02-17 11:44:00,73.0
236,2021-02-17 11:45:00,67.0
237,2021-02-17 11:46:00,61.0
238,2021-02-17 11:47:00,59.0
239,2021-02-17 11:49:00,61.0
240,2021-02-17 11:50:00,63.0
241,2021-02-17 11:51:00,77.0
242,2021-02-17 11:52:00,71.0
243,2021-02-17 11:53:00,63.0
244,2021-02-17 11:54:00,71.0
245,2021-02-17 11:56:00,77.0
246,2021-02-17 11:58:00,67.0
247,2021-02-17 11:59:00,69.0
248,2021-02-17 12:00:00,79.0
249,2021-02-17 12:01:00,70.0
250,2021-02-17 12:02:00,62.0
251,2021-02-17 12:03:00,75.0
252,2021-02-17 12:04:00,77.0
253,2021-02-17 12:05:00,70.0
254,2021-02-17 12:06:00,66.0
255,2021-02-17 12:08:00,72.0
256,2021-02-17 12:09:00,82.0
257,2021-02-17 12:10:00,79.0
258,2021-02-17 12:11:00,80.0
259,2021-02-17 12:12:00,78.0
260,2021-02-17 12:13:00,69.0
261,2021-02-17 12:14:00,71.0
262,2021-02-17 12:16:00,75.0
263,2021-02-17 12:17:00,77.0
264,2021-02-17 12:18:00,73.0
265,2021-02-17 12:19:00,86.0
266,2021-02-17 12:20:00,87.0
267,2021-02-17 12:21:00,80.0
268,2021-02-17 12:23:00,71.0
269,2021-02-17 12:24:00,69.0
270,2021-02-17 12:25:00,82.0
271,2021-02-17 12:26:00,71.0
272,2021-02-17 12:28:00,83.0
273,2021-02-17 12:29:00,79.0
274,2021-02-17 12:30:00,77.0
275,2021-02-17 12:31:00,70.0
276,2021-02-17 12:33:00,71.0
277,2021-02-17 12:34:00,72.0
278,2021-02-17 12:36:00,70.0
279,2021-02-17 12:38:00,74.0
280,2021-02-17 12:39:00,72.0
281,2021-02-17 12:41:00,70.0
282,2021-02-17 12:43:00,71.0
283,2021-02-17 12:44:00,77.0
284,2021-02-17 12:45:00,75.0
285,2021-02-17 12:46:00,73.0
286,2021-02-17 12:47:00,93.0
287,2021-02-17 12:48:00,80.0
288,2021-02-17 12:49:00,78.0
289,2021-02-17 12:50:00,79.0
290,2021-02-17 12:51:00,73.0
291,2021-02-17 12:52:00,72.0
292,2021-02-17 12:54:00,70.0
293,2021-02-17 12:57:00,87.0
294,2021-02-17 12:58:00,86.0
295,2021-02-17 12:59:00,77.0
296,2021-02-17 13:00:00,74.0
297,2021-02-17 13:01:00,72.0
298,2021-02-17 13:02:00,70.0
299,2021-02-17 13:03:00,71.0
300,2021-02-17 13:04:00,70.0
301,2021-02-17 13:05:00,84.0
302,2021-02-17 13:06:00,91.0
303,2021-02-17 13:08:00,84.0
304,2021-02-17 13:09:00,74.0
305,2021-02-17 13:10:00,73.0
306,2021-02-17 13:11:00,72.0
307,2021-02-17 13:12:00,67.0
308,2021-02-17 13:13:00,69.0
309,2021-02-17 13:14:00,70.0
310,2021-02-17 13:15:00,69.0
311,2021-02-17 13:17:00,71.0
312,2021-02-17 13:18:00,77.0
313,2021-02-17 13:19:00,80.0
314,2021-02-17 13:20:00,88.0
315,2021-02-17 13:21:00,87.0
316,2021-02-17 13:22:00,78.0
317,2021-02-17 13:23:00,72.0
318,2021-02-17 13:24:00,70.0
319,2021-02-17 13:25:00,75.0
320,2021-02-17 13:26:00,88.0
321,2021-02-17 13:27:00,83.0
322,2021-02-17 13:28:00,78.0
323,2021-02-17 13:29:00,71.0
324,2021-02-17 13:30:00,79.0
325,2021-02-17 13:31:00,71.0
326,2021-02-17 13:32:00,77.0
327,2021-02-17 13:34:00,69.0
328,2021-02-17 13:35:00,66.0
329,2021-02-17 13:36:00,65.0
330,2021-02-17 13:38:00,63.0
331,2021-02-17 13:39:00,66.0
332,2021-02-17 13:40:00,69.0
333,2021-02-17 13:41:00,65.0
334,2021-02-17 13:42:00,66.0
335,2021-02-17 13:43:00,65.0
336,2021-02-17 13:44:00,75.0
337,2021-02-17 13:45:00,78.0
338,2021-02-17 13:46:00,77.0
339,2021-02-17 13:47:00,75.0
340,2021-02-17 13:48:00,86.0
341,2021-02-17 13:49:00,92.0
342,2021-02-17 13:50:00,124.0
343,2021-02-17 13:51:00,101.0
344,2021-02-17 13:52:00,76.0
345,2021-02-17 13:53:00,75.0
346,2021-02-17 13:54:00,83.0
347,2021-02-17 13:55:00,77.0
348,2021-02-17 13:56:00,80.0
349,2021-02-17 13:57:00,76.0
350,2021-02-17 13:58:00,91.0
351,2021-02-17 13:59:00,92.0
352,2021-02-17 14:00:00,79.0
353,2021-02-17 14:01:00,76.0
354,2021-02-17 14:02:00,73.0
355,2021-02-17 14:03:00,84.0
356,2021-02-17 14:04:00,83.0
357,2021-02-17 14:05:00,78.0
358,2021-02-17 14:06:00,76.0
359,2021-02-17 14:07:00,79.0
360,2021-02-17 14:08:00,91.0
361,2021-02-17 14:09:00,82.0
362,2021-02-17 14:10:00,83.0
363,2021-02-17 14:11:00,88.0
364,2021-02-17 14:12:00,89.0
365,2021-02-17 14:13:00,84.0
366,2021-02-17 14:14:00,89.0
367,2021-02-17 14:15:00,88.0
368,2021-02-17 14:16:00,77.0
369,2021-02-17 14:17:00,75.0
370,2021-02-17 14:18:00,79.0
371,2021-02-17 14:19:00,78.0
372,2021-02-17 14:20:00,83.0
373,2021-02-17 14:21:00,97.0
374,2021-02-17 14:22:00,85.0
375,2021-02-17 14:23:00,88.0
376,2021-02-17 14:24:00,87.0
377,2021-02-17 14:25:00,92.0
378,2021-02-17 14:26:00,82.0
379,2021-02-17 14:27:00,79.0
380,2021-02-17 14:28:00,78.0
381,2021-02-17 14:29:00,82.0
382,2021-02-17 14:30:00,81.0
383,2021-02-17 14:31:00,83.0
384,2021-02-17 14:32:00,81.0
385,2021-02-17 14:33:00,91.0
386,2021-02-17 14:34:00,88.0
387,2021-02-17 14:35:00,90.0
388,2021-02-17 14:36:00,86.0
389,2021-02-17 14:37:00,92.0
390,2021-02-17 14:38:00,88.0
391,2021-02-17 14:39:00,95.0
392,2021-02-17 14:40:00,87.0
393,2021-02-17 14:41:00,84.0
394,2021-02-17 14:42:00,81.0
395,2021-02-17 14:43:00,82.0
396,2021-02-17 14:44:00,83.0
397,2021-02-17 14:45:00,90.0
398,2021-02-17 14:46:00,97.0
399,2021-02-17 14:47:00,103.0
400,2021-02-17 14:48:00,102.0
401,2021-02-17 14:49:00,137.0
402,2021-02-17 14:50:00,129.0
403,2021-02-17 14:51:00,110.0
404,2021-02-17 14:52:00,101.0
405,2021-02-17 14:53:00,98.0
406,2021-02-17 14:54:00,95.0
407,2021-02-17 14:55:00,100.0
408,2021-02-17 14:56:00,99.0
409,2021-02-17 14:57:00,97.0
410,2021-02-17 14:58:00,94.0
411,2021-02-17 14:59:00,92.0
412,2021-02-17 15:00:00,91.0
413,2021-02-17 15:01:00,98.0
414,2021-02-17 15:02:00,103.0
415,2021-02-17 15:03:00,99.0
416,2021-02-17 15:04:00,90.0
417,2021-02-17 15:05:00,96.0
418,2021-02-17 15:06:00,89.0
419,2021-02-17 15:07:00,87.0
420,2021-02-17 15:08:00,84.0
421,2021-02-17 15:09:00,95.0
